ID,В стоп-л,Email польз.,Email VK,Email Yandex,Email Google,Email OK,Email Twitter,Email FB,ID пользователя,Дата рождения,Кол-во транзакций,Накоп. сумма,Посл. пожер.
1381,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,01.06.2024 08:37:50
1380,Нет,Есть,-,-,-,-,-,-,292252,1977-12-22,1,100.00,30.05.2024 19:59:24
1379,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,27.05.2024 13:47:52
1378,Нет,Есть,-,-,Есть,-,-,-,150952,1992-06-03,1,500.00,24.05.2024 14:14:07
1377,Нет,Есть,-,-,-,-,-,-,244603,2004-09-06,1,100.00,24.05.2024 13:54:01
1376,Нет,Есть,-,Есть,Есть,-,-,-,253837,1984-02-24,1,100.00,24.05.2024 12:51:06
1375,Нет,Есть,-,-,-,-,-,-,224803,Не указано,1,300.00,24.05.2024 05:49:55
1374,Нет,Есть,-,-,-,-,-,-,292247,1969-10-02,1,500.00,22.05.2024 15:33:08
1373,Нет,Есть,-,-,-,-,-,-,140566,1987-02-03,3,600.00,25.05.2024 10:50:58
1372,Нет,Есть,-,-,-,-,-,-,164261,Не указано,1,500.00,20.05.2024 16:46:07
1371,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,300.00,20.05.2024 14:56:16
1370,Нет,Есть,Есть,-,-,-,-,-,180657,1989-02-10,1,200.00,19.05.2024 07:54:31
1369,Нет,Есть,Есть,-,-,-,-,-,291197,Не указано,1,300.00,14.05.2024 16:57:57
1368,Нет,Есть,-,-,Есть,-,-,-,284326,1988-02-06,3,100.00,14.05.2024 10:16:36
1367,Нет,Есть,-,-,-,-,-,-,131205,1994-01-06,1,100.00,12.05.2024 21:06:30
1366,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,12.05.2024 15:33:48
1365,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,11.05.2024 20:09:50
1364,Нет,Есть,-,Есть,Есть,-,-,-,200298,1995-03-13,1,350.00,11.05.2024 18:51:11
1363,Нет,Есть,-,-,-,-,-,-,149456,1999-12-19,1,2000.00,11.05.2024 16:35:54
1362,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,11.05.2024 16:24:08
1361,Нет,-,-,-,-,-,-,-,Не указано,Не указано,3,700.00,11.05.2024 14:46:39
1360,Нет,Есть,-,-,Есть,-,-,-,142006,1981-09-07,1,100.00,11.05.2024 13:36:05
1359,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,11.05.2024 13:32:47
1358,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,300.00,11.05.2024 12:57:33
1357,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,400.00,11.05.2024 12:44:21
1356,Нет,Есть,-,-,Есть,-,-,-,215049,Не указано,1,1300.00,07.05.2024 16:28:21
1355,Нет,Есть,-,-,-,-,-,-,277629,1991-09-22,1,0,06.05.2024 11:07:16
1354,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,26.00,05.05.2024 23:13:29
1353,Нет,Есть,Есть,Есть,Есть,-,-,-,152333,1976-05-12,1,300.00,03.05.2024 20:03:35
1352,Нет,Есть,-,-,-,-,-,-,268244,Не указано,2,0,03.05.2024 14:26:23
1351,Нет,Есть,Есть,-,-,-,-,-,289352,Не указано,1,25.00,03.05.2024 11:31:11
1350,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,10.00,02.05.2024 22:01:52
1349,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,10.00,02.05.2024 21:34:09
1348,Нет,Есть,-,Есть,-,-,-,-,1529,1985-04-30,2,600.00,27.05.2024 11:22:38
1347,Нет,Есть,Есть,Есть,-,-,-,-,288512,2001-05-12,11,381.00,16.05.2024 15:37:47
1346,Нет,Есть,-,Есть,-,-,-,-,4455,1993-08-20,2,200.00,01.06.2024 06:59:20
1345,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,30.04.2024 17:14:06
1344,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,29.04.2024 11:15:09
1343,Нет,Есть,Есть,-,-,-,-,-,281637,1998-05-17,2,10.00,02.05.2024 09:13:38
1342,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,27.04.2024 15:12:24
1341,Нет,Есть,-,-,-,-,-,-,242852,Не указано,1,1000.00,25.04.2024 10:44:00
1340,Нет,Есть,-,-,-,-,-,-,225419,1990-02-06,2,200.00,24.05.2024 16:38:19
1339,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,24.04.2024 13:00:11
1338,Нет,Есть,-,-,-,-,-,-,241413,1975-08-23,1,0,23.04.2024 14:17:11
1337,Нет,Есть,-,-,-,-,-,-,276147,Не указано,1,0,21.04.2024 12:41:10
1336,Нет,Есть,-,-,Есть,-,-,-,271383,Не указано,1,300.00,21.04.2024 12:15:09
1335,Нет,Есть,Есть,-,-,-,-,-,281706,1971-08-28,1,100.00,21.04.2024 11:20:24
1334,Нет,Есть,-,-,-,-,-,-,229306,1986-11-08,1,300.00,21.04.2024 08:35:31
1333,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 22:40:56
1332,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,12.00,20.04.2024 21:58:03
1331,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.04.2024 20:29:46
1330,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,200.00,20.04.2024 17:27:51
1329,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.04.2024 16:54:57
1328,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,51.00,20.04.2024 16:09:36
1327,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,200.00,20.04.2024 15:27:42
1326,Нет,-,-,-,-,-,-,-,Не указано,Не указано,3,50.00,20.04.2024 14:10:51
1325,Нет,Есть,-,-,Есть,-,-,-,267083,1989-05-14,1,300.00,20.04.2024 13:07:09
1324,Нет,Есть,-,-,-,-,-,-,176796,1983-09-08,1,50.00,20.04.2024 12:29:36
1323,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 11:51:31
1322,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,20.04.2024 11:15:39
1321,Нет,Есть,-,-,-,-,-,-,182764,1966-03-27,1,300.00,20.04.2024 09:11:55
1320,Нет,-,-,-,-,-,-,-,Не указано,Не указано,3,100.00,21.05.2024 09:09:17
1319,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.04.2024 08:50:42
1318,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 08:20:09
1317,Нет,Есть,Есть,-,-,-,-,-,289795,Не указано,1,50.00,20.04.2024 07:51:02
1316,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.04.2024 07:40:13
1315,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 07:14:15
1314,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 07:04:04
1313,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,20.04.2024 06:54:54
1312,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,20.04.2024 06:52:22
1311,Нет,Есть,-,-,-,-,-,-,177156,1979-04-24,1,50.00,20.04.2024 06:38:21
1310,Нет,-,-,-,-,-,-,-,Не указано,Не указано,3,50.00,20.04.2024 06:41:11
1309,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,20.04.2024 06:35:47
1308,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,50.00,20.04.2024 04:03:13
1307,Нет,Есть,-,-,-,-,-,-,9837,1987-07-31,1,500.00,20.04.2024 02:07:31
